"模块","流程阶段","页面类别","页号","页面名称","方案范围","声明分支数"
"陪伴开关与安抚反馈","关闭、开启与声音安抚","主流程","P58","陪伴开关（开启）","当前方案","5"
"陪伴开关与安抚反馈","关闭、开启与声音安抚","主流程","P59","声音触发的轻声安抚","当前方案","9"
"陪伴开关与安抚反馈","关闭、开启与声音安抚","主流程","P60","通用情绪陪伴与呼吸","当前方案","4"
"陪伴开关与安抚反馈","主动表达后的情境安抚","相关状态","P61","持续高音量引导","当前方案","4"
"陪伴开关与安抚反馈","主动表达后的情境安抚","相关状态","P62","生气时的安全引导","当前方案","4"
"陪伴开关与安抚反馈","主动表达后的情境安抚","相关状态","P63","被拒绝后的失望","当前方案","4"
"陪伴开关与安抚反馈","主动表达后的情境安抚","相关状态","P64","同学或手足冲突","当前方案","4"
"陪伴开关与安抚反馈","主动表达后的情境安抚","相关状态","P65","睡前焦躁舒缓","当前方案","4"
"陪伴开关与安抚反馈","需要现实中的支持","可选分支","P66","持续升级的安全提示","当前方案","4"
"录音与回放","录制、停止与本地保存","主流程","P70","准备录制语音便签","当前方案","5"
"录音与回放","录制、停止与本地保存","主流程","P71","正在录制语音便签","当前方案","7"
"录音与回放","录制、停止与本地保存","主流程","P122","录音本地保存中","当前方案","3"
"录音与回放","录制、停止与本地保存","主流程","P123","录音已保存在设备","当前方案","5"
"录音与回放","暂停、提醒到达与低亮录制","相关状态","P184","录音已暂停","当前方案","3"
"录音与回放","暂停、提醒到达与低亮录制","相关状态","P81","录音期间记录提醒排队","当前方案","6"
"录音与回放","暂停、提醒到达与低亮录制","相关状态","P121","录音低亮录音","当前方案","4"
"录音与回放","放弃未保存的录音","可选分支","P125","录音退出处置","当前方案","3"
"录音与回放","放弃未保存的录音","可选分支","P177","删除录音二次确认","当前方案","3"
"录音与回放","放弃未保存的录音","可选分支","P42","语音已取消","当前方案","2"
"录音与回放","保存失败、空间不足与过期","异常恢复","P73","语音便签保存失败","当前方案","3"
"录音与回放","保存失败、空间不足与过期","异常恢复","P158","录音存储空间不足","当前方案","1"
"录音与回放","保存失败、空间不足与过期","异常恢复","P168","未保存录音缓存已过期","当前方案","2"
"录音与回放","备份权限、仅本地保存与云端备份结果","相关状态","P173","录音同步授权状态","当前方案","1"
"录音与回放","备份权限、仅本地保存与云端备份结果","相关状态","P171","录音仅本地保存","当前方案","2"
"录音与回放","备份权限、仅本地保存与云端备份结果","相关状态","P72","语音便签已同步","当前方案","2"
"录音与回放","选择录音与回放","主流程","P124","已存录音","当前方案","8"
"录音与回放","选择录音与回放","主流程","P182","录音播放详情","当前方案","3"
"录音与回放","删除已保存录音","可选分支","P183","删除已保存录音确认","当前方案","2"
"录音与回放","录音结束后处理提醒","可选分支","P164","录音保存后查看排队提醒","当前方案","2"
"日常：提醒与步数","日常菜单入口","主流程","P187","日常菜单","当前方案","3"
"日常：提醒与步数","消息列表、提醒详情与播报","主流程","P77","通知与提醒中心","当前方案","5"
"日常：提醒与步数","消息列表、提醒详情与播报","主流程","P134","记录状态详情","当前方案","5"
"日常：提醒与步数","提前提醒、到期与完成","主流程","P67","记录提前弹出提醒","当前方案","3"
"日常：提醒与步数","提前提醒、到期与完成","主流程","P68","记录到时弹出提醒","当前方案","5"
"日常：提醒与步数","提前提醒、到期与完成","主流程","P69","提醒处理结果","当前方案","3"
"日常：提醒与步数","稍后提醒与多项待办","相关状态","P133","记录已设为稍后","当前方案","5"
"日常：提醒与步数","稍后提醒与多项待办","相关状态","P167","多个同时到期的提醒","当前方案","3"
"日常：提醒与步数","提醒已更新与空列表","相关状态","P159","记录已由应用更新","当前方案","1"
"日常：提醒与步数","提醒已更新与空列表","相关状态","P135","通知中心空态","当前方案","1"
"日常：提醒与步数","日常菜单与今日步数","主流程","P103","今日计步","当前方案","2"
"日常：提醒与步数","计步暂不可用","异常恢复","P107","计步暂不可用","当前方案","2"
"碰一碰与好友互动","好友菜单与我的好友列表","主流程","P185","好友菜单","当前方案","3"
"碰一碰与好友互动","好友菜单与我的好友列表","主流程","P191","我的好友","当前方案","3"
"碰一碰与好友互动","设备接触、双方确认与好友详情","主流程","P54","碰一碰交友","当前方案","2"
"碰一碰与好友互动","设备接触、双方确认与好友详情","主流程","P55","确认碰一碰好友","当前方案","2"
"碰一碰与好友互动","设备接触、双方确认与好友详情","主流程","P176","朋友请求等待","当前方案","3"
"碰一碰与好友互动","设备接触、双方确认与好友详情","主流程","P56","好友与对方伙伴","当前方案","5"
"碰一碰与好友互动","添加对方宠物与查看伙伴","主流程","P188","确认添加对方宠物","当前方案","2"
"碰一碰与好友互动","添加对方宠物与查看伙伴","主流程","P189","正在添加对方宠物","当前方案","3"
"碰一碰与好友互动","宠物添加失败与重试","异常恢复","P190","对方宠物添加失败","当前方案","2"
"碰一碰与好友互动","社交权限异常","异常恢复","P169","账号社交策略不可用","当前方案","1"
"碰一碰与好友互动","好友详情中的更多互动","可选分支","P87","好友互动","当前方案","3"
"碰一碰与好友互动","选择问候、发送与送达","主流程","P136","选择预置朋友问候","当前方案","6"
"碰一碰与好友互动","选择问候、发送与送达","主流程","P137","朋友问候发送中","当前方案","4"
"碰一碰与好友互动","选择问候、发送与送达","主流程","P138","朋友问候已发送","当前方案","1"
"碰一碰与好友互动","收到问候与待发送问候","相关状态","P57","收到朋友互动","当前方案","2"
"碰一碰与好友互动","收到问候与待发送问候","相关状态","P139","朋友问候待发送","当前方案","4"
"碰一碰与好友互动","好友关系已变化","异常恢复","P140","关系已失效","当前方案","1"
"碰一碰与好友互动","邀请组队与确认结果","主流程","P88","确认成为伴侣","当前方案","2"
"碰一碰与好友互动","邀请组队与确认结果","主流程","P89","等待对方确认伴侣","当前方案","4"
"碰一碰与好友互动","邀请组队与确认结果","主流程","P90","伴侣关系建立成功","当前方案","2"
"碰一碰与好友互动","邀请共同创作与生成结果","主流程","P141","发起本次共同生成邀请","当前方案","3"
"碰一碰与好友互动","邀请共同创作与生成结果","主流程","P143","等待本次生成同意","当前方案","4"
"碰一碰与好友互动","邀请共同创作与生成结果","主流程","P91","共同孵化新角色","当前方案","4"
"碰一碰与好友互动","邀请共同创作与生成结果","主流程","P92","新角色诞生","当前方案","3"
"碰一碰与好友互动","角色生成失败","异常恢复","P102","新角色生成失败","当前方案","5"
"碰一碰与好友互动","收到共同创作邀请","可选分支","P142","收到共同生成邀请","当前方案","5"
"碰一碰与好友互动","取消邀请与结束状态","可选分支","P145","取消生成请求确认","当前方案","3"
"碰一碰与好友互动","取消邀请与结束状态","可选分支","P144","邀请结束","当前方案","1"
"碰一碰与好友互动","好友消息与后台任务","相关状态","P165","好友消息","当前方案","11"
"设置与隐私","设置总览与通用设置","主流程","P180","设置总览","当前方案","6"
"设置与隐私","设置总览与通用设置","主流程","P75","通用设置","当前方案","7"
"设置与隐私","音量与亮度独立调节","相关状态","P31","音量调整","当前方案","1"
"设置与隐私","音量与亮度独立调节","相关状态","P32","亮度调整","当前方案","1"
"设置与隐私","勿扰与数据权限","相关状态","P30","勿扰模式","当前方案","2"
"设置与隐私","勿扰与数据权限","相关状态","P28","智能隐私说明","当前方案","1"
"设置与隐私","显示偏好","相关状态","P172","显示设置","当前方案","3"
"设置与隐私","关于设备与系统入口","相关状态","P181","关于设备","当前方案","2"
"更换网络与连接恢复","搜索与选择网络","主流程","P126","正在扫描无线网络","当前方案","3"
"更换网络与连接恢复","搜索与选择网络","主流程","P109","无线网络","当前方案","6"
"更换网络与连接恢复","密码页的网络名称详情","可选分支","P174","查看所选网络名称","当前方案","1"
"更换网络与连接恢复","关闭网络与关闭状态","可选分支","P114","确认关闭无线网络","当前方案","2"
"更换网络与连接恢复","关闭网络与关闭状态","可选分支","P115","无线网络设置（已关闭）","当前方案","2"
"更换网络与连接恢复","无网络、密码错误与网络丢失","异常恢复","P127","附近没有可用网络","当前方案","2"
"更换网络与连接恢复","无网络、密码错误与网络丢失","异常恢复","P128","无线网络密码错误","当前方案","2"
"更换网络与连接恢复","无网络、密码错误与网络丢失","异常恢复","P129","所选网络已消失","当前方案","2"
"更换网络与连接恢复","离线、重连与在线服务异常","异常恢复","P21","离线陪伴模式","当前方案","2"
"更换网络与连接恢复","离线、重连与在线服务异常","异常恢复","P22","重新连接","当前方案","5"
"更换网络与连接恢复","离线、重连与在线服务异常","异常恢复","P78","云端服务不可用","当前方案","1"
"回忆同步","确认范围、传输、校验与完成","主流程","P29","记忆同步范围","当前方案","3"
"回忆同步","确认范围、传输、校验与完成","主流程","P146","灵魂连接等待设备","当前方案","2"
"回忆同步","确认范围、传输、校验与完成","主流程","P147","灵魂连接传输中","当前方案","3"
"回忆同步","确认范围、传输、校验与完成","主流程","P148","灵魂连接校验中","当前方案","3"
"回忆同步","确认范围、传输、校验与完成","主流程","P08","灵魂连接完成","当前方案","1"
"回忆同步","中断、失败与取消","异常恢复","P39","灵魂连接已中断","当前方案","3"
"回忆同步","中断、失败与取消","异常恢复","P40","灵魂连接校验失败","当前方案","2"
"回忆同步","中断、失败与取消","异常恢复","P149","灵魂连接已取消或撤权","当前方案","1"
"充电、关机与系统维护","入座提示、充电待机与充满","主流程","P23","入座充电提示","当前方案","3"
"充电、关机与系统维护","入座提示、充电待机与充满","主流程","P24","充电待机","当前方案","15"
"充电、关机与系统维护","入座提示、充电待机与充满","主流程","P26","充电待机 · 已充满","当前方案","15"
"充电、关机与系统维护","底座内容同步（独立于电量）","可选分支","P25","内容同步中","当前方案","4"
"充电、关机与系统维护","底座接触与同步异常","异常恢复","P45","底座接触异常","当前方案","2"
"充电、关机与系统维护","底座接触与同步异常","异常恢复","P46","同步已暂停","当前方案","3"
"充电、关机与系统维护","底座接触与同步异常","异常恢复","P47","内容同步失败","当前方案","3"
"充电、关机与系统维护","低电量、即将关机与过热","相关状态","P33","低电量提醒","当前方案","2"
"充电、关机与系统维护","低电量、即将关机与过热","相关状态","P34","即将关机","当前方案","3"
"充电、关机与系统维护","低电量、即将关机与过热","相关状态","P48","设备温度过高","当前方案","2"
"充电、关机与系统维护","确认关机","可选分支","P118","普通关机确认","当前方案","3"
"充电、关机与系统维护","检查更新、安装、完成与重启","主流程","P163","系统更新安装条件检查","当前方案","3"
"充电、关机与系统维护","检查更新、安装、完成与重启","主流程","P35","系统更新中","当前方案","2"
"充电、关机与系统维护","检查更新、安装、完成与重启","主流程","P49","系统更新完成","当前方案","1"
"充电、关机与系统维护","检查更新、安装、完成与重启","主流程","P153","硬件或系统重启","当前方案","1"
"充电、关机与系统维护","更新失败与回退","异常恢复","P50","系统更新失败后回退版本","当前方案","2"
"充电、关机与系统维护","更新失败与回退","异常恢复","P100","系统更新更新未安装","当前方案","2"
"充电、关机与系统维护","系统恢复与协助操作","主流程","P101","系统恢复需要应用","当前方案","2"
"充电、关机与系统维护","系统恢复与协助操作","主流程","P150","系统恢复手机操作指引","当前方案","2"
"充电、关机与系统维护","系统恢复与协助操作","主流程","P151","系统恢复进行中","当前方案","2"
"充电、关机与系统维护","系统恢复失败","异常恢复","P152","系统恢复失败","当前方案","1"
