"模块","页码","页面","变更","原画面文字","优化后画面文字","原按钮名称","优化后按钮名称"
"日常待机与功能入口","P162","单次语音播报","保持","音频 / 播放中 / 停止","音频 / 播放中 / 停止","返回 / 停止","返回 / 停止"
"日常待机与功能入口","P12","轻敲回应","已优化","你好","嗨，你好","返回","返回"
"日常待机与功能入口","P13","翻转躲藏","已优化","待会儿见","一会儿见","返回","返回"
"日常待机与功能入口","P11","夜间回应","已优化","安静时段 / 晚安","安静时段 / 晚安，好好休息","返回","返回"
"日常待机与功能入口","P79","低功耗息屏待机","保持","无线网络 / 78% / 15:31 / 9 月 9 日，周三","无线网络 / 78% / 15:31 / 9 月 9 日，周三","返回","返回"
"智能对话","P161","AI 统一入口条件检查","保持","智能对话 / 准备中","智能对话 / 准备中","返回","返回"
"智能对话","P14","正在听","已优化","麦克风开启 / 00:00 / 正在听 / 结束","麦克风开启 / 00:00 / 我在听 / 结束","返回 to 应用 / 发送语音 / 结束","返回 to 应用 / 发送语音 / 结束"
"智能对话","P15","正在思考","已优化","麦克风开启 / 00:00 / 思考中 / 结束","收音已暂停 / 00:00 / 让我想想 / 结束","返回 to 应用 / 发送语音 / 结束","返回 to 应用 / 发送语音 / 结束"
"智能对话","P16","正在说话","已优化","麦克风开启 / 00:00 / 正在说话 / 结束","收音已暂停 / 00:00 / 说给你听 / 结束","返回 to 应用 / 打断回答 / 结束","返回 to 应用 / 打断回答 / 结束"
"智能对话","P76","AI 对话结束","已优化","智能对话 / 对话结束 / 未在聆听 / 完成 / 再聊一次","智能对话 / 谢谢你和我聊天 / 完成 / 再聊聊","返回 / 完成 / 再聊一次","返回 / 完成 / 再聊聊"
"智能对话","P41","未检测到语音","已优化","没有听清 / 再试一次 / 结束","刚才没听清 / 再试一次 / 结束","返回 / 再试一次 / 结束","返回 / 再试一次 / 结束"
"智能对话","P43","角色回应延迟","已优化","还在思考 / 再试一次 / 结束","这次没能回答 / 再试一次 / 结束","返回 / 再试一次 / 结束","返回 / 再试一次 / 结束"
"智能对话","P44","安全回应替代","已优化","先暂停一下 / 再聊一次 / 结束","我们换个话题吧 / 再聊聊 / 结束","返回 / 再聊一次 / 结束","返回 / 再聊聊 / 结束"
"智能对话","P170","AI 服务暂不可用","已优化","智能对话 / 对话不可用 / 稍后再试 / 再试一次","智能对话 / 暂时聊不了 / 稍后再试 / 再试一次","返回 / 再试一次","返回 / 再试一次"
"我的伙伴与照顾","P93","我的伙伴与等级","已优化","Lumi / 状态不错 / 喂食 / 准备好 / 60% / 清洁 / 准备好 / 60% / 休息 / 准备好 / 60% / 探索 / 准备好","Lumi / 等级 1 / 今天状态不错 / Lumi / 1 / 3 / 喂食 / 0 份食物可用 / 60% / 清洁 / 60% / 休息 / 60% / 探索 / 管理伙伴","返回 / 喂食准备好60% / 清洁准备好60% / 休息准备好60% / 探索准备好","返回 / 上一个伙伴 / 下一个伙伴 / 喂食0 份食物可用60% / 清洁60% / 休息60% / 探索 / 管理伙伴"
"我的伙伴与照顾","P94","食物库存与喂养确认","已优化","Lumi / 点心时间 / 小点心 / 喂食","Lumi / 点心时间 / 1 份食物可用 / 喂养 1 份","返回 / 喂食","返回 / 喂养 1 份"
"我的伙伴与照顾","P157","食物不足与照顾限制","已优化","Lumi / 我吃饱啦 / 谢谢你的照顾 / 好的","Lumi / 暂无食物 / 请在应用中购买食物 / 同步购买内容","返回 / 好的","返回 / 同步购买内容"
"我的伙伴与照顾","P95","清理互动","已优化","Lumi / 清理 / 焕然一新 / 清洁","Lumi / 洗干净，一身轻松 / 清洁","返回 / 清洁","返回 / 清洁"
"我的伙伴与照顾","P96","角色休息与照顾","保持","Lumi / 该休息了 / 休息 15 分钟 / 休息","Lumi / 该休息了 / 休息 15 分钟 / 休息","返回 / 休息","返回 / 休息"
"我的伙伴与照顾","P175","角色休息进行中","保持","Lumi / 休息中 / 还剩 15:00 / 结束休息","Lumi / 休息中 / 还剩 15:00 / 结束休息","返回 / 结束休息","返回 / 结束休息"
"我的伙伴与照顾","P97","Explore 角色视角","保持","探索 / 我的角色 / 1 倍 / 完成","探索 / 我的角色 / 1 倍 / 完成","返回 / Zoom out / Zoom 在 / 完成","返回 / Zoom out / Zoom 在 / 完成"
"我的伙伴与照顾","P98","Explore 远视角","保持","探索 / 远景 / 0.6 倍 / 完成","探索 / 远景 / 0.6 倍 / 完成","返回 / Zoom out / Zoom 在 / 完成","返回 / Zoom out / Zoom 在 / 完成"
"我的伙伴与照顾","P99","Explore 近视角","保持","探索 / 近景 / 2 倍 / 完成","探索 / 近景 / 2 倍 / 完成","返回 / Zoom out / Zoom 在 / 完成","返回 / Zoom out / Zoom 在 / 完成"
"我的伙伴与照顾","P18","角色等级提升","已优化","新动作 / 一个新动作","成长 / 升级啦 / 等级 2 / 完成","返回","返回 / 完成"
"我的伙伴与照顾","P51","等待拍摄公仔","保持","新角色 / 创建玩具角色 / 在应用中添加照片 / 稍后","新角色 / 创建玩具角色 / 在应用中添加照片 / 稍后","返回 / 稍后","返回 / 稍后"
"我的伙伴与照顾","P52","正在生成角色","已优化","正在创建角色","正在创建角色 / 稍后","返回","返回 / 稍后"
"我的伙伴与照顾","P53","公仔成功复活","已优化","新角色 / 新角色已准备好 / Lumi 还在这里 / 稍后 / 使用角色","新角色 / 新伙伴来啦 / Nova / 稍后 / 使用角色","返回 / 稍后 / 使用角色","返回 / 稍后 / 使用角色"
"我的伙伴与照顾","P154","确认启用新角色","保持","角色 / 使用这个角色？ / Lumi 会保留在你的收藏中 / 保留 Lumi / 使用角色","角色 / 使用这个角色？ / Lumi 会保留在你的收藏中 / 保留 Lumi / 使用角色","返回 / 保留 Lumi / 使用角色","返回 / 保留 Lumi / 使用角色"
"我的伙伴与照顾","P155","正在启用角色","保持","角色 / 正在更换角色","角色 / 正在更换角色","",""
"我的伙伴与照顾","P156","角色启用失败","已优化","角色 / 无法更换 / Lumi 还在这里 / 再试一次","角色 / 这次没换成功 / Lumi 还在这里 / 再试一次","返回 / 再试一次","返回 / 再试一次"
"陪伴开关与安抚反馈","P82","陪伴开关（关闭）","已优化","照顾 / 开始照顾？ / 麦克风开启 30 分钟 / 暂不 / 开始照顾","陪伴 / 需要时，我在 / 开启后聆听你的声音与表达 / 陪伴","返回 / 暂不 / 开始照顾","返回 / 陪伴"
"陪伴开关与安抚反馈","P58","陪伴开关（开启）","已优化","照顾 / 麦克风开启 / 30:00 / 照顾已开启 / 停止照顾","陪伴 / 我在这里，慢慢来 / 我在听 / 陪伴","返回 / 停止照顾","返回 / 陪伴"
"陪伴开关与安抚反馈","P59","声音触发的轻声安抚","已优化","照顾 / 30:00 / 想要安静一会儿吗？ / 暂不 / 好的","陪伴 / 我在呢，不着急 / 先安静会 / 一起呼吸","返回 / 暂不 / 好的","返回 / 先安静会 / 一起呼吸"
"陪伴开关与安抚反馈","P60","通用情绪陪伴与呼吸","已优化","照顾 / 和我一起呼吸 / 完成","陪伴 / 和我一起慢慢呼吸","返回 / 完成","返回"
"陪伴开关与安抚反馈","P61","持续高音量引导","已优化","照顾 / 慢慢呼吸 / 完成","陪伴 / 慢慢吸气，再呼气","返回 / 完成","返回"
"陪伴开关与安抚反馈","P62","生气时的安全引导","已优化","照顾 / 暂停一下，呼吸 / 完成","陪伴 / 先停一下，缓口气","返回 / 完成","返回"
"陪伴开关与安抚反馈","P63","被拒绝后的失望","已优化","照顾 / 我在这里 / 完成","陪伴 / 歇一会儿也没关系","返回 / 完成","返回"
"陪伴开关与安抚反馈","P64","同学或手足冲突","已优化","照顾 / 暂停一会儿 / 完成","陪伴 / 先歇一会儿吧","返回 / 完成","返回"
"陪伴开关与安抚反馈","P65","睡前焦躁舒缓","已优化","照顾 / 星星呼吸 / 完成","陪伴 / 跟着星星慢慢呼吸","返回 / 完成","返回"
"陪伴开关与安抚反馈","P66","持续升级的安全提示","已优化","照顾 / 找一位信任的成年人 / 完成","陪伴 / 找信任的大人聊聊","返回 / 完成","返回"
"录音与回放","P70","准备录制语音便签","已优化","录音 / 准备好 / 00:00 / 已存录音","录音 / 想记下什么呢？ / 00:00 / 已存录音","返回 / 录音 / 已存录音","返回 / 录音 / 已存录音"
"录音与回放","P71","正在录制语音便签","已优化","录音 / 录音中 / 00:08 / 麦克风开启","录音 / 录音中 / 00:08","返回 / 停止 / 暂停","返回 / 停止 / 暂停"
"录音与回放","P122","录音本地保存中","保持","录音 / 正在保存录音","录音 / 正在保存录音","",""
"录音与回放","P123","录音已保存在设备","已优化","录音 / 已保存在 LG01 / 仅保存在本设备 / 完成 / 已存录音","录音 / 录音存好啦 / 仅保存在本设备 / 完成 / 已存录音","返回 / 完成 / 已存录音","返回 / 完成 / 已存录音"
"录音与回放","P184","录音已暂停","保持","录音 / 已暂停 / 00:08 / 保存","录音 / 已暂停 / 00:08 / 保存","返回 / 继续 / 保存","返回 / 继续 / 保存"
"录音与回放","P81","录音期间 Note 提醒排队","已优化","录音 / 有一条提醒待处理 / 00:08 / 麦克风开启","录音 / 有提醒等你查看 / 00:08","返回 / 停止 / 暂停","返回 / 停止 / 暂停"
"录音与回放","P121","录音低亮 REC","已优化","录音 / 录音中 / 00:08 / 麦克风开启","录音 / 录音中 / 00:08","返回 / 停止 / 暂停","返回 / 停止 / 暂停"
"录音与回放","P125","录音退出处置","已优化","录音 / 保留这段录音吗？ / 录音已停止 / 保存 / 删除","录音 / 要留下这段录音吗？ / 录音已停止 / 保存 / 删除","返回 / 保存 / 删除","返回 / 保存 / 删除"
"录音与回放","P177","删除录音二次确认","已优化","录音 / 删除这段录音？ / 此操作无法撤销。 / 保留 / 删除","录音 / 删除这段录音？ / 删除后无法恢复 / 保留 / 删除","返回 / 保留 / 删除","返回 / 保留 / 删除"
"录音与回放","P42","语音已取消","保持","录音已删除 / 完成","录音已删除 / 完成","返回 / 完成","返回 / 完成"
"录音与回放","P73","语音便签保存失败","已优化","无法保存 / 还剩 24 小时可保存 / 再试一次 / 保存或删除","录音 / 录音还没存好 / 还剩 24 小时可保存 / 再试一次 / 处理录音","返回 / 再试一次 / 保存或删除","返回 / 再试一次 / 处理录音"
"录音与回放","P158","录音存储空间不足","保持","录音 / 没有足够空间录音 / 请在应用中管理录音","录音 / 没有足够空间录音 / 请在应用中管理录音","返回","返回"
"录音与回放","P168","未保存录音缓存已过期","已优化","录音 / 录音已消失 / 超过 24 小时后无法保留。 / 完成 / 再次录音","录音 / 录音已过期 / 超过 24 小时，已自动删除 / 完成 / 再次录音","返回 / 完成 / 再次录音","返回 / 完成 / 再次录音"
"录音与回放","P173","录音同步授权状态","已优化","线上备份 / 备份需要设置 / 请在应用中修改","云备份 / 备份需要设置 / 请在应用中修改","返回","返回"
"录音与回放","P171","录音仅本地保存","已优化","录音 / 已保存在 LG01 / 尚未备份到线上 / 完成 / 已存录音","录音 / 录音存好啦 / 尚未备份到云端 / 完成 / 已存录音","返回 / 完成 / 已存录音","返回 / 完成 / 已存录音"
"录音与回放","P72","语音便签已同步","保持","录音 / 已保存到应用 / 完成","录音 / 已保存到应用 / 完成","返回 / 完成","返回 / 完成"
"录音与回放","P124","已存录音","保持","已存录音 / 录音 1 / 00:08 · 尚未发送","已存录音 / 录音 1 / 00:08 · 尚未发送","返回 / 录音 100:08 · 尚未发送","返回 / 录音 100:08 · 尚未发送"
"录音与回放","P182","录音播放详情","保持","录音 / 00:00 / 00:08","录音 / 00:00 / 00:08","返回 / 删除录音 / 播放录音","返回 / 删除录音 / 播放录音"
"录音与回放","P183","删除已保存录音确认","已优化","录音 / 删除这段录音？ / 此操作无法撤销。 / 保留 / 删除","录音 / 删除这段录音？ / 删除后无法恢复 / 保留 / 删除","返回 / 保留 / 删除","返回 / 保留 / 删除"
"录音与回放","P164","录音保存后查看排队提醒","已优化","提醒 / 有一条提醒待处理 / 录音已保存 / 稍后 / 查看","提醒 / 有提醒等你查看 / 录音已保存 / 稍后 / 查看","返回 / 稍后 / 查看","返回 / 稍后 / 查看"
"日常：提醒与步数","P187","日常菜单","新增","","日常 / 提醒 / 今日步数","","返回 / 提醒 / 今日步数"
"日常：提醒与步数","P77","通知与提醒中心","已优化","更新 / 带上雨伞 / 即将到时 / 休息一下 / 现在到时间","消息 / 带上雨伞 / 未到时间 / 休息一下 / 待处理","返回 / 带上雨伞即将到时 / 休息一下现在到时间","返回 / 带上雨伞未到时间 / 休息一下待处理"
"日常：提醒与步数","P134","Note 状态详情","已优化","提醒 / 带上雨伞 / 即将到时 / 播放 / 标记完成","提醒 / 带上雨伞 / 未到时间 / 播放 / 完成了","返回 / 播放 / 标记完成","返回 / 播放 / 完成了"
"日常：提醒与步数","P67","Note 提前弹出提醒","保持","提醒 / 带上雨伞 / 30 分钟后 / 关闭 / 播放","提醒 / 带上雨伞 / 30 分钟后 / 关闭 / 播放","返回 / 关闭 / 播放","返回 / 关闭 / 播放"
"日常：提醒与步数","P68","Note 到时弹出提醒","已优化","提醒 / 带上雨伞 / 现在到时间 / 10 分钟后 / 标记完成","提醒 / 带上雨伞 / 10 分钟后 / 完成了","返回 / 带上雨伞现在到时间 / 10 分钟后 / 标记完成","返回 / 带上雨伞 / 10 分钟后 / 完成了"
"日常：提醒与步数","P69","提醒处理结果","已优化","提醒 / 已标记完成 / 关闭 / 详情","提醒 / 这件事完成啦 / 关闭 / 详情","返回 / 关闭 / 详情","返回 / 关闭 / 详情"
"日常：提醒与步数","P133","Note 已设为稍后","已优化","提醒 / 提醒我在 / 10 分钟 / 关闭 / 详情","提醒 / 我会再提醒你 / 10 分钟后 / 关闭 / 详情","返回 / 关闭 / 详情","返回 / 关闭 / 详情"
"日常：提醒与步数","P167","多个同时到期的提醒","已优化","提醒 / 现在到时间 / 带上雨伞 / 现在到时间 / 休息一下 / 现在到时间","待办提醒 / 带上雨伞 / 休息一下","返回 / 带上雨伞现在到时间 / 休息一下现在到时间","返回 / 带上雨伞 / 休息一下"
"日常：提醒与步数","P159","Note 已由 App 更新","已优化","提醒 / 提醒已更新 / 查看新的提醒 / 查看更新","提醒 / 提醒已更新 / 查看提醒","返回 / 查看更新","返回 / 查看提醒"
"日常：提醒与步数","P135","通知中心空态","已优化","更新 / 暂无更新","消息 / 还没有新消息","返回","返回"
"日常：提醒与步数","P103","今日计步","已优化","4,820 / 步数 / 步数今天","今天 / 4,820 / 步 / 来自本机计步","返回","返回"
"日常：提醒与步数","P107","计步暂不可用","保持","步数暂不可用 / 稍后再试 / 再试一次","步数暂不可用 / 稍后再试 / 再试一次","返回 / 再试一次","返回 / 再试一次"
"碰一碰与好友互动","P185","好友菜单","已优化","好友 / Milo / 打招呼 / 邀请 / 邀请和回复","好友 / 碰一碰交友 / 我的好友 / 好友消息","返回 / Milo打招呼 / 邀请邀请和回复","返回 / 碰一碰交友 / 我的好友 / 好友消息"
"碰一碰与好友互动","P191","我的好友","新增","","我的好友 / Milo / 伙伴： / Milo","","返回 / Milo伙伴： Milo"
"碰一碰与好友互动","P54","碰一碰交友","已优化","好友 / 附近有人 / 选择连接方式 / 暂不 / 选择","好友 / Milo / 碰一碰交友 / 让两台设备碰一碰","返回 / 暂不 / 选择","返回"
"碰一碰与好友互动","P55","确认碰一碰好友","已优化","好友 / 成为好友？ / 与 Milo 一起 / 取消 / 发送邀请","好友 / Momo / 交个朋友吧？ / Pico / 暂不 / 交朋友","返回 / 取消 / 发送邀请","返回 / 暂不 / 交朋友"
"碰一碰与好友互动","P176","朋友请求等待","已优化","好友 / 等待回复 / 最多 1 分钟 / 取消 / 稍后","好友 / Momo / 等待回复 / Pico / 取消邀请","返回 / 取消 / 稍后","返回 / 取消邀请"
"碰一碰与好友互动","P56","好友与对方伙伴","已优化","好友 / 与 Milo 成为好友 / 完成 / 打招呼","好友 / Momo / Pico / 打个招呼 / 添加宠物 / 更多互动","返回 / 完成 / 打招呼","返回 / 打个招呼 / 添加宠物 / 更多互动"
"碰一碰与好友互动","P188","确认添加对方宠物","新增","","添加宠物 / Momo / 将对方宠物添加到本机？ / 取消 / 添加","","返回 / 取消 / 添加"
"碰一碰与好友互动","P189","正在添加对方宠物","新增","","添加宠物 / Momo / 正在添加宠物 / 取消","","返回 / 取消"
"碰一碰与好友互动","P190","对方宠物添加失败","新增","","添加宠物 / Momo / 宠物还没添加成功 / 取消 / 再试一次","","返回 / 取消 / 再试一次"
"碰一碰与好友互动","P169","账号社交策略不可用","保持","应用帮助 / 好友需要先设置 / 一起打开应用","应用帮助 / 好友需要先设置 / 一起打开应用","返回","返回"
"碰一碰与好友互动","P87","好友互动","已优化","与 Milo 连接 / 好友 / 组队 / 取消","好友 / 组队 / 一起创作","返回 / 好友 / 组队 / 取消","返回 / 组队 / 一起创作"
"碰一碰与好友互动","P136","选择预置朋友问候","已优化","发给 Milo / 发送问候 / 挥手 / 击掌 / 欢呼","发给 Milo / 打个招呼 / 挥手 / 击掌 / 欢呼","返回 / 挥手 / 击掌 / 欢呼","返回 / 挥手 / 击掌 / 欢呼"
"碰一碰与好友互动","P137","朋友问候发送中","保持","好友 / 正在发送","好友 / 正在发送","返回","返回"
"碰一碰与好友互动","P138","朋友问候已发送","已优化","好友 / 已发送给 Milo / 完成","好友 / 问候已送到 Milo / 完成","返回 / 完成","返回 / 完成"
"碰一碰与好友互动","P57","收到朋友互动","已优化","来自 Milo / Milo 发来的问候 / 稍后 / 回复","来自 Milo / Milo 向你打招呼 / 稍后 / 回复","返回 / 稍后 / 回复","返回 / 稍后 / 回复"
"碰一碰与好友互动","P139","朋友问候待发送","保持","好友 / 尚未发送 / 等待连接 / 取消 / 再试一次","好友 / 尚未发送 / 等待连接 / 取消 / 再试一次","返回 / 取消 / 再试一次","返回 / 取消 / 再试一次"
"碰一碰与好友互动","P140","关系已失效","保持","好友 / 暂时无法连接 / 请在应用中查看好友","好友 / 暂时无法连接 / 请在应用中查看好友","返回","返回"
"碰一碰与好友互动","P88","确认成为伴侣","保持","要与 Milo 组队吗？ / 取消 / 发送邀请","要与 Milo 组队吗？ / 取消 / 发送邀请","返回 / 取消 / 发送邀请","返回 / 取消 / 发送邀请"
"碰一碰与好友互动","P89","等待对方确认伴侣","保持","等待 Milo / 取消 / 稍后","等待 Milo / 取消 / 稍后","返回 / 取消 / 稍后","返回 / 取消 / 稍后"
"碰一碰与好友互动","P90","伴侣关系建立成功","已优化","你们已成为队友 / 你和 Milo / 稍后 / 一起创建","你们是队友啦 / 你和 Milo / 稍后 / 一起创作","返回 / 稍后 / 一起创建","返回 / 稍后 / 一起创作"
"碰一碰与好友互动","P141","发起本次共同生成邀请","已优化","一起创建 / 要与 Milo 一起创建吗？ / 使用你们角色的外观 / 取消 / 发送邀请","一起创作 / 和 Milo 一起创作？ / 使用你们角色的外观 / 取消 / 发送邀请","返回 / 取消 / 发送邀请","返回 / 取消 / 发送邀请"
"碰一碰与好友互动","P143","等待本次生成同意","已优化","一起创建 / 等待 Milo / 取消 / 稍后","一起创作 / 等待 Milo / 取消 / 稍后","返回 / 取消 / 稍后","返回 / 取消 / 稍后"
"碰一碰与好友互动","P91","共同孵化新 Avatar","保持","正在创建角色 / 与 Milo 一起 / 稍后","正在创建角色 / 与 Milo 一起 / 稍后","返回 / 稍后","返回 / 稍后"
"碰一碰与好友互动","P92","新 Avatar 诞生","已优化","新角色已准备好 / Lumi 还在这里 / 使用角色 / 我的角色","新伙伴来啦 / Lumi 还在这里 / 使用角色 / 我的角色","返回 / 使用角色 / 我的角色","返回 / 使用角色 / 我的角色"
"碰一碰与好友互动","P102","新 Avatar 生成失败","已优化","还没准备好 / 再次检查角色状态 / 稍后 / 查看状态","还没收到结果 / 稍后 / 查看状态","返回 / 稍后 / 查看状态","返回 / 稍后 / 查看状态"
"碰一碰与好友互动","P142","收到共同生成邀请","已优化","来自 Milo / 要与 Milo 一起创建吗？ / 使用你们角色的外观 / 暂不 / 加入","来自 Milo / 和 Milo 一起创作？ / 使用你们角色的外观 / 暂不 / 加入","返回 / 暂不 / 加入","返回 / 暂不 / 加入"
"碰一碰与好友互动","P145","取消生成请求确认","已优化","一起创建 / 取消这份邀请？ / 保留邀请 / 取消邀请","一起创作 / 取消这份邀请？ / 保留邀请 / 取消邀请","返回 / 保留邀请 / 取消邀请","返回 / 保留邀请 / 取消邀请"
"碰一碰与好友互动","P144","邀请结束","已优化","一起创建 / 邀请已关闭","一起创作 / 邀请已取消","返回","返回"
"碰一碰与好友互动","P165","好友消息","已优化","好友动态 / 暂无邀请","好友消息 / 暂无邀请","返回","返回"
"设置与隐私","P180","设置总览","已优化","设置 / 快捷控制 / 无线网络 / 已连接 / 语言 / 我的角色 / 记忆 / 关于","设置 / 通用设置 / 无线网络 / 已连接 / 语言 / 我的角色 / 回忆 / 关于","返回 / 快捷控制 / 无线网络已连接 / 语言 / 我的角色 / 记忆 / 关于","返回 / 通用设置 / 无线网络已连接 / 语言 / 我的角色 / 回忆 / 关于"
"设置与隐私","P75","通用设置","已优化","控制 / 麦克风 / 开启 / 安静模式 / 关闭 / 声音和亮度 / 40% / 55% / 无线网络 / 已连接 / 显示 / 关闭屏幕 / 线上备份 / 应用权限 / 智能隐私","通用设置 / 安静模式 / 关闭 / 音量 / 40% / 亮度 / 55% / 显示 / 关闭屏幕 / 云备份 / 应用权限 / 智能隐私","返回 / 麦克风开启 / 安静模式关闭 / 声音和亮度40% / 55% / 无线网络已连接 / 显示关闭屏幕 / 线上备份应用权限 / 智能隐私","返回 / 安静模式关闭 / 音量40% / 亮度55% / 显示关闭屏幕 / 云备份应用权限 / 智能隐私"
"设置与隐私","P31","音量调整","已优化","控制 / 音量 / 40% / 亮度 / 55% / 完成","音量 / 40%","返回 / 完成","返回"
"设置与隐私","P32","亮度调整","已优化","控制 / 音量 / 40% / 亮度 / 55% / 完成","亮度 / 55%","返回 / 完成","返回"
"设置与隐私","P30","勿扰模式","保持","安静模式已关闭 / 提醒可以播放声音 / 开启安静模式","安静模式已关闭 / 提醒可以播放声音 / 开启安静模式","返回 / 开启安静模式","返回 / 开启安静模式"
"设置与隐私","P28","AI 隐私说明","已优化","智能隐私 / 关于智能对话 / 你的声音会发送到线上服务。","智能隐私 / 关于智能对话 / 你的声音会发送到在线服务","返回","返回"
"设置与隐私","P172","显示设置","保持","显示 / 关闭屏幕 / 30 秒后 / 显示时钟 / 时间和电量","显示 / 关闭屏幕 / 30 秒后 / 显示时钟 / 时间和电量","返回 / 关闭屏幕30 秒后 / 显示时钟时间和电量","返回 / 关闭屏幕30 秒后 / 显示时钟时间和电量"
"设置与隐私","P181","关于设备","保持","关于 / LG01 / 软件版本 / 界面原型 · 2026.09.12 / 型号 / LG01 / 更新 / 关机","关于 / LG01 / 软件版本 / 界面原型 · 2026.09.12 / 型号 / LG01 / 更新 / 关机","返回 / 更新 / 关机","返回 / 更新 / 关机"
"更换网络与连接恢复","P126","正在扫描 Wi-Fi","保持","无线网络 / 正在查找无线网络 / 取消","无线网络 / 正在查找无线网络 / 取消","返回 / 取消","返回 / 取消"
"更换网络与连接恢复","P109","无线网络","已优化","选择网络 / Home / 需要密码 / LG01 Studio / 需要密码 / Guest / 无需密码","无线网络 / Home / 已连接 / LG01 Studio / Guest","返回 / Home需要密码 / LG01 Studio需要密码 / Guest无需密码 / 再次搜索","返回 / LG01 Studio / Guest / 关闭无线网络 / 再次搜索"
"更换网络与连接恢复","P174","查看所选网络名称","已优化","无线网络 / Home","网络名称 / Family-Living-Room-WiFi-2026-5G / 当前所选网络","返回","返回"
"更换网络与连接恢复","P114","确认关闭 Wi-Fi","保持","关闭无线网络？ / 智能对话将不可用 / 保持开启 / 关闭","关闭无线网络？ / 智能对话将不可用 / 保持开启 / 关闭","返回 / 保持开启 / 关闭","返回 / 保持开启 / 关闭"
"更换网络与连接恢复","P115","Wi-Fi 设置（已关闭）","保持","无线网络已关闭 / 智能对话不可用 / 开启","无线网络已关闭 / 智能对话不可用 / 开启","返回 / 开启","返回 / 开启"
"更换网络与连接恢复","P127","附近没有可用网络","保持","无线网络 / 未找到无线网络 / 再次搜索","无线网络 / 未找到无线网络 / 再次搜索","返回 / 再次搜索","返回 / 再次搜索"
